P13		P52	P31	P66
update				
P13	narr_loc_string	Label (FR) [spatial vocabulary]	Wikidata-ID	Koordinaten
88.57bis	Alicanti	Alicante	https://www.wikidata.org/wiki/Q11959 	38.345277777778,-0.48305555555556
68.21	Alpes italiennes	Alpes italiennes	https://www.wikidata.org/wiki/Q3509494 	
67.8	Ardennes	Ardennes	https://www.wikidata.org/wiki/Q151985 	50.25,5.6666666666667
79.10	Ardennes	Ardennes	https://www.wikidata.org/wiki/Q151985 	50.25,5.6666666666667
65.45 	Astérie	Astérie		
55.35 	Boétie	Boétie		
65.45 	Camédris	Camédris		
92.30	Champagne (Xllle siècle)	Champagne	https://www.wikidata.org/wiki/Q273827 	49,4
56.21	Cithéropolis (c.-à-d. Paris)	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
83.57	continent des fées et des génies	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
99.59	Dauphiné	Dauphiné	https://www.wikidata.org/wiki/Q151999	
73.7	différents pays européens	Europe	https://www.wikidata.org/wiki/Q46	48.690959,9.14062
83.56	Eraste	Eraste		
99.146	Flandres	Flandre	https://www.wikidata.org/wiki/Q234 	51,4.5
85.53	Flandres (époque de Philippe-le-Bon)	Flandre	https://www.wikidata.org/wiki/Q234 	51,4.5
83.52	France (époque de Louis XI)	France	https://www.wikidata.org/wiki/Q142	47,2
83.32	France-Australe	France-Australe		
61.22	Frivolarque et Néniarque	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
85.33	royaume de Babimanie (Frivolopolis)	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
89.8	Guiane (conquête espagnole)	Guiane		
97.58	Guyenne	Guyenne	https://www.wikidata.org/wiki/Q849324 	43.977,-0.176
96.57	Hesse	Hesse	https://www.wikidata.org/wiki/Q1199 	50.60802777777778,9.028472222222222
99.33	île aérienne	île	https://www.wikidata.org/wiki/Q23442	
55.12	île de Likeshire	île	https://www.wikidata.org/wiki/Q23442	
55.12	île de Wayserdanos	île	https://www.wikidata.org/wiki/Q23442	
65.50	île des Galligènes	île	https://www.wikidata.org/wiki/Q23442	
99.110	île près de la Nouvelle Zélande	île	https://www.wikidata.org/wiki/Q23442	
90.25	Isles des Amis	île	https://www.wikidata.org/wiki/Q23442	
86.6	Jaccio (sic)	Jaccio		
89.59	l’île Brillante	île	https://www.wikidata.org/wiki/Q23442	
52.28	l’ile de la Fontaine (de la jouvence)	île	https://www.wikidata.org/wiki/Q23442	
83.29	l’isle de l’esclavage	île	https://www.wikidata.org/wiki/Q23442	
89.108	la Franciade (pays au bord du lac Léman)	Léman	https://www.wikidata.org/wiki/Q6403 	46.433333333333,6.55
98.31	Laurence	Laurence		
63.3	Le Caire (fin XVIIe siècle)	Le Caire	https://www.wikidata.org/wiki/Q85 	30.056111111111,31.239444444444
69.69	le Cap	le Cap		
91.33	le Mont-Jura	Jura	https://www.wikidata.org/wiki/Q178611 	47.2431,6.0219
68.37	les Isles	île	https://www.wikidata.org/wiki/Q23442	
52.41	Louisiane	Louisiane	https://www.wikidata.org/wiki/Q1588 	31,-92
64.4	Médie			
99.6	Midi (Xlle siècle)	Midi de la France	https://www.wikidata.org/wiki/Q1237299	
60.26	Naples	Naples	https://www.wikidata.org/wiki/Q2634	40.833333333333,14.25
90.25	O-Taïti	Tahiti	https://www.wikidata.org/wiki/Q42000	-17.666666666667,-149.46666666667
95.15	Palatinat (XVIe siècle)	Palatinat rhénan	https://www.wikidata.org/wiki/Q326359 	49.5,8.016669444444444
55.10	Pans	Pans		
57.13	Parnasse	Parnasse		
52.27	pays de Bonhommie	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
88.11	Pays-Bas	Pays-Bas	https://www.wikidata.org/wiki/Q55	52,5
98.88	Pays-Bas	Pays-Bas	https://www.wikidata.org/wiki/Q55	52,5
96.8	Persepolis (Paris)	Paris	https://www.wikidata.org/wiki/Q90	48.856944444444,2.3513888888889
99.147	Peschia	Pescia	https://www.wikidata.org/wiki/Q18493366	42.68505,13.15714
97.6	Philadelphie	Philadelphie	https://www.wikidata.org/wiki/Q1345	39.952777777778,-75.163611111111
86.45	Poitou (épisode en Amérique)	Poitou		
70.36	Provence	Provence	https://www.wikidata.org/wiki/Q101081	44,6
98.31	Saint-Cyran	Saint-Cyran		
65.51	Sanfrein	Sanfrein		
97.57	Sicile (XVIe siècle)	Sicile	https://www.wikidata.org/wiki/Q4951156	37.566666666667,14.266666666667
65.45	Sinaclée	Suriname	https://www.wikidata.org/wiki/Q7646305 	
87.12	Surinam	Surinam		
85.16	Téluce	Téluce		
87.34	Thèbes	Thèbe	https://www.wikidata.org/wiki/Q2723626 	39.5833,27
67.1	Thèbes Athènes	Thèbe	https://www.wikidata.org/wiki/Q2723626 	39.5833,27
67.1	Thèbes Athènes	Athènes	https://www.wikidata.org/wiki/Q1524	37.98416666666667,23.728055555555557
83.32	Thibet	Thibet		
83.53	Trêves	Trèves	https://www.wikidata.org/wiki/Q3138	49.756666666667,6.6413888888889
86.43	Vera-Cruz	Vera-Cruz		
00.131	Véronne	Vérone	https://www.wikidata.org/wiki/Q2028	45.43861111111111,10.992777777777778
96.36	Vosges (village d’Enzenheim)	Vosges	https://www.wikidata.org/wiki/Q3105	48.166666666667,6.4166666666667
