P13		P8	P31	P66
update				
P13	Part_of_pub_String	Label (FR) [spatial vocabulary]	Wikidata-ID	Koordinaten
66.13	A Balivernopolis 	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
80.34	A Basic 	Basic 		
89.23	A Concordopolis 	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
106	A Delhy 	Delhy 		
67.12	A Folichonopolis 	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
65.7	A Gaznah	Gaznah 		
58.2	A Kiansi	Kiansi 		
77.15	A l’isle de Bourbon	île	https://www.wikidata.org/wiki/Q23442	
60.25	A la Courtille	Courtille 		
67.10	A la poste	bureau de poste	https://www.wikidata.org/wiki/Q35054	
70.18	A Luxurville	Luxurville 		
89.8	A Manoa	Manoa		
63.16	A Mimicopole	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
84.44	A Pharaonis	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
90.33	A Pigritiopolis	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
56.17	A Porde-Polis	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
74.23	A Sestos	Sestos 		
94.12	A St.-Maixent	St.-Maixent 		
87.16	A Tombut	Tombut 		
89.21	A Tribaldis	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
66.19	A Tunquin	Tunquin 		
99.38	Altona	Altona		
82.9	Apollon	Apollon 		
82.7	Au Cap-Français	Cap-Français 		
98.84	Au Palais-Roial	Palais-Royal	https://www.wikidata.org/wiki/Q329948	48.863333333333,2.3369444444444
90.16	et se trouve au Palais-royal	Palais-Royal	https://www.wikidata.org/wiki/Q329948	48.863333333333,2.3369444444444
90.54	au Palais-Royal	Palais-Royal	https://www.wikidata.org/wiki/Q329948	48.863333333333,2.3369444444444
90.57	au Palais-Royal dabord, puis partout, même chés Guillot	Palais-Royal	https://www.wikidata.org/wiki/Q329948	48.863333333333,2.3369444444444
77.2	Au Paraclet	Paraclet 		
82.3	Au Paraclet	Paraclet 		
51.14	Au Parnasse	Parnasse		
60.1	Aux remparts	rempart	https://www.wikidata.org/wiki/Q1416685	
98.11	Aux Sables	Les Sables		
84.23	Ballomanipolis	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
73.7	Bero	Bero		
88.51	Brampour	Brampour		
83.4	Cosmopolis	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
96.8	de l’Oxus	L’Oxus		
89.81	Dujardin	Dujardin		
84.55	Ellivenul	Ellivenul		
59.7	Eutaxie	Eutaxie		
97.23	Fanfan	Fanfan		
88.99	Femey	Femey		
89.38	Isaphan	Isaphan		
67.1	Isscdon	Isscdon		
77.4	l’atmosphère	atmosphère terrestre	https://www.wikidata.org/wiki/Q3230	
77.55	La-llaie	La-llaie		
60.8	Bouillon	Le Bouillon	https://www.wikidata.org/wiki/Q181397	48.561666666667,0.10333333333333
95.20	Lemierre	Lemierre		
55.32	A l’isle des Chimères	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
60.12	Au temple de Vénus	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
83.1	A Libidinibus	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
84.5	Mystificatopolis	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
85.16	A Pneumatopolis	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
87.23	Amours	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
96.38	Lombard	Lombard		
93.5	Imprimé dans la lune	Lune	https://www.wikidata.org/wiki/Q405	
91.9	Imprimé dans la lune	Lune	https://www.wikidata.org/wiki/Q405	
53.32	Merkus	Merkus		
93.15	Saint-Cyr	Saint-Cyr		
80.12	Sindif	Sindif		
80.4	Tempé	Tempé		
88.34	Tils	Tils		
51.1	Vemeuil	Vemeuil		
66.6bis	Venepole	Venepole		
85.19	Véropolis	lieu imaginaire	https://www.wikidata.org/wiki/Q3895768	
75.39bis	Versoy	Versoy		
51.30	Villemanie	Villemanie		
60.33	Villeneuve	Villeneuve		
76.47	Yorck	Yorck		
77.38	Yverdon-les-Bains	Yverdon-les-Bains	https://www.wikidata.org/wiki/Q63946 	46.7785,6.6408333333333
